trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.36704183792370526}",30,15,-34.51910671001654,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.36690011456769617}",30,1,13.999768917418391,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.3667617062631979}",30,11,-37.98991570174864,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.36662649804253805}",30,13,-56.35172402806901,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.3664943801934166}",25,0,6.467084796614735,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.36636524796201164}",20,11,13.769070489842097,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.36623900127598713}",25,0,-56.07692050636798,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.3661155444858637}",30,0,21.627745036790646,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.36599478612334707}",20,14,12.804459964110979,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.36587663867533193}",25,7,4.916779579899163,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.36576101837240677}",25,3,-5.8618467826661185,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3656478449907861}",35,16,-27.40633568245828,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3655370416666864}",20,0,-30.96128671292295,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.36542853472224196}",20,13,12.009932406195373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.36532225350213354}",20,2,-46.67047270748118,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.3652181302201677}",20,10,-13.807194387782292,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.365116099815107}",20,8,-17.22555008691677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.365016099815107}",25,10,1.0494182260840237,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3649180702101663}",25,2,34.509185007014,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,23.046432676434385,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,28.80410987023022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,18.363139798342356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,21.337550197565513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,17.90861475258584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,4,39.483035863927114,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,25.734178937605176,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,6.481767415754419,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,16.395867166295705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,8,33.071896865941504,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
